"FILEID","STUSAB","SUMLEV","LOGRECNO","REGION","DIVISION","STATE","COUNTY","TRACT","BLOCK","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017"
"SF1ST","OH","101",109587,"2","3","39","049","009100","3009",36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109588,"2","3","39","049","009100","3010",40,38,38,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"SF1ST","OH","101",109589,"2","3","39","049","009100","3011",39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109590,"2","3","39","049","009100","3012",25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109591,"2","3","39","049","009100","3013",53,53,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109592,"2","3","39","049","009100","3014",47,46,34,7,0,0,0,0,5,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109593,"2","3","39","049","009100","3015",48,47,47,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109594,"2","3","39","049","009100","3016",43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109595,"2","3","39","049","009100","3017",53,53,49,1,0,0,0,0,3,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109597,"2","3","39","049","009100","4000",53,53,51,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109598,"2","3","39","049","009100","4001",41,40,40,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109599,"2","3","39","049","009100","4002",57,55,51,0,0,0,0,0,4,2,0,0,0,0,0,0,2
"SF1ST","OH","101",109600,"2","3","39","049","009100","4003",44,39,39,0,0,0,0,0,0,5,3,0,0,1,0,0,1
"SF1ST","OH","101",109601,"2","3","39","049","009100","4004",40,40,37,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109602,"2","3","39","049","009100","4005",48,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109603,"2","3","39","049","009100","4006",46,46,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109604,"2","3","39","049","009100","4007",47,44,33,0,0,8,0,0,3,3,1,0,0,0,0,0,2
"SF1ST","OH","101",109605,"2","3","39","049","009100","4008",61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109606,"2","3","39","049","009100","4009",40,38,38,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"SF1ST","OH","101",109607,"2","3","39","049","009100","4010",45,45,43,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109608,"2","3","39","049","009100","4011",45,44,41,0,0,1,0,0,2,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109609,"2","3","39","049","009100","4012",52,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109610,"2","3","39","049","009100","4013",54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109611,"2","3","39","049","009100","4014",52,52,48,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109612,"2","3","39","049","009100","4015",45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109613,"2","3","39","049","009100","4016",34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109614,"2","3","39","049","009100","4017",71,71,60,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109615,"2","3","39","049","009100","4018",20,20,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109616,"2","3","39","049","009100","4019",31,31,29,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109618,"2","3","39","049","009100","5000",34,34,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109619,"2","3","39","049","009100","5001",82,81,66,12,0,0,0,0,3,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109620,"2","3","39","049","009100","5002",65,65,62,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109621,"2","3","39","049","009100","5003",102,102,92,6,0,1,0,0,3,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109622,"2","3","39","049","009100","5004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109623,"2","3","39","049","009100","5005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109624,"2","3","39","049","009100","5006",83,83,81,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109625,"2","3","39","049","009100","5007",81,80,66,14,0,0,0,0,0,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109626,"2","3","39","049","009100","5008",96,93,93,0,0,0,0,0,0,3,3,0,0,0,0,0,0
"SF1ST","OH","101",109627,"2","3","39","049","009100","5009",109,105,102,1,0,0,0,2,0,4,4,0,0,0,0,0,0
"SF1ST","OH","101",109628,"2","3","39","049","009100","5010",95,91,86,0,0,1,0,0,4,4,4,0,0,0,0,0,0
"SF1ST","OH","101",109629,"2","3","39","049","009100","5011",94,93,88,0,0,2,0,0,3,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109630,"2","3","39","049","009100","5012",95,91,90,1,0,0,0,0,0,4,4,0,0,0,0,0,0
"SF1ST","OH","101",109635,"2","3","39","049","007120","1000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109636,"2","3","39","049","007120","1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109637,"2","3","39","049","007120","1002",118,110,104,0,0,0,0,0,6,8,1,0,0,0,0,7,0
"SF1ST","OH","101",109638,"2","3","39","049","007120","1003",260,256,213,33,0,2,0,0,8,4,4,0,0,0,0,0,0
"SF1ST","OH","101",109639,"2","3","39","049","007120","1004",14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109640,"2","3","39","049","007120","1005",17,14,14,0,0,0,0,0,0,3,0,0,0,0,0,1,2
"SF1ST","OH","101",109641,"2","3","39","049","007120","1006",168,158,143,13,0,0,0,0,2,10,9,0,0,0,0,1,0
"SF1ST","OH","101",109642,"2","3","39","049","007120","1007",58,58,44,12,0,2,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109643,"2","3","39","049","007120","1008",63,62,59,2,0,0,0,0,1,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109644,"2","3","39","049","007120","1009",47,44,44,0,0,0,0,0,0,3,0,0,0,0,0,1,2
"SF1ST","OH","101",109645,"2","3","39","049","007120","1010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109646,"2","3","39","049","007120","1011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109647,"2","3","39","049","007120","1012",72,71,63,8,0,0,0,0,0,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109648,"2","3","39","049","007120","1013",96,90,79,6,0,1,0,0,4,6,6,0,0,0,0,0,0
"SF1ST","OH","101",109649,"2","3","39","049","007120","1014",122,116,98,3,0,14,0,0,1,6,6,0,0,0,0,0,0
"SF1ST","OH","101",109650,"2","3","39","049","007120","1015",90,88,65,16,0,0,0,0,7,2,1,0,0,0,0,1,0
"SF1ST","OH","101",109651,"2","3","39","049","007120","1016",76,74,68,4,2,0,0,0,0,2,2,0,0,0,0,0,0
