County,Tract,BG,Block,HT,VA,E,R,S
39059,39059977200,390599772003,390599772003104,1,2,1,1,2
39059,39059977200,390599772003,390599772003104,1,2,1,1,2
39059,39059977200,390599772003,390599772003104,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,1,1,1,1
39059,39059977200,390599772003,390599772003107,1,1,1,1,1
39059,39059977200,390599772003,390599772003107,1,1,1,1,1
39059,39059977200,390599772003,390599772003107,1,1,1,1,1
39059,39059977200,390599772003,390599772003107,1,1,1,1,1
39059,39059977200,390599772003,390599772003107,1,1,1,1,1
39059,39059977200,390599772003,390599772003107,1,1,1,1,1
39059,39059977200,390599772003,390599772003107,1,1,1,1,1
39059,39059977200,390599772003,390599772003107,1,1,1,1,1
39059,39059977200,390599772003,390599772003107,1,1,1,1,1
39059,39059977200,390599772003,390599772003107,1,1,1,1,1
39059,39059977200,390599772003,390599772003107,1,1,1,1,1
39059,39059977200,390599772003,390599772003107,1,1,1,1,2
39059,39059977200,390599772003,390599772003107,1,1,1,1,2
39059,39059977200,390599772003,390599772003107,1,1,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,1
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,1,2
39059,39059977200,390599772003,390599772003107,1,2,1,8,1
39059,39059977200,390599772003,390599772003107,1,2,1,8,1
39059,39059977200,390599772003,390599772003112,1,2,1,1,1
39059,39059977200,390599772003,390599772003112,1,2,1,1,1
39059,39059977200,390599772003,390599772003112,1,2,1,1,1
39059,39059977200,390599772003,390599772003112,1,2,1,1,2
39059,39059977200,390599772003,390599772003112,1,2,1,1,2
39059,39059977200,390599772003,390599772003112,1,2,1,1,2
39059,39059977200,390599772003,390599772003112,1,2,1,1,2
39059,39059977200,390599772003,390599772003112,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,1
39059,39059977200,390599772003,390599772003115,1,1,1,1,1
39059,39059977200,390599772003,390599772003115,1,1,1,1,1
39059,39059977200,390599772003,390599772003115,1,1,1,1,1
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,1,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,1
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003115,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,1
39059,39059977200,390599772003,390599772003116,1,1,1,1,1
39059,39059977200,390599772003,390599772003116,1,1,1,1,1
39059,39059977200,390599772003,390599772003116,1,1,1,1,1
39059,39059977200,390599772003,390599772003116,1,1,1,1,1
39059,39059977200,390599772003,390599772003116,1,1,1,1,1
39059,39059977200,390599772003,390599772003116,1,1,1,1,1
39059,39059977200,390599772003,390599772003116,1,1,1,1,1
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,1,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,1
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003116,1,2,1,1,2
39059,39059977200,390599772003,390599772003117,1,1,1,1,2
39059,39059977200,390599772003,390599772003117,1,2,1,1,1
39059,39059977200,390599772003,390599772003117,1,2,1,1,2
39059,39059977200,390599772003,390599772003117,1,2,1,1,2
39059,39059977200,390599772003,390599772003119,1,1,1,1,2
39059,39059977200,390599772003,390599772003119,1,2,1,1,1
39059,39059977200,390599772003,390599772003119,1,2,1,1,1
39059,39059977200,390599772003,390599772003119,1,2,1,1,1
39059,39059977200,390599772003,390599772003119,1,2,1,1,1
39059,39059977200,390599772003,390599772003119,1,2,1,1,1
39059,39059977200,390599772003,390599772003119,1,2,1,1,2
39059,39059977200,390599772003,390599772003119,1,2,1,1,2
39059,39059977200,390599772003,390599772003119,1,2,1,1,2
39059,39059977200,390599772003,390599772003119,1,2,1,1,2
39059,39059977200,390599772003,390599772003122,1,2,1,1,1
39059,39059977200,390599772003,390599772003122,1,2,1,1,2
39059,39059977200,390599772004,390599772004002,1,1,1,1,1
39059,39059977200,390599772004,390599772004002,1,1,1,1,2
39059,39059977200,390599772004,390599772004002,1,2,1,1,1
39059,39059977200,390599772004,390599772004002,1,2,1,1,1
39059,39059977200,390599772004,390599772004002,1,2,1,1,1
39059,39059977200,390599772004,390599772004002,1,2,1,1,1
39059,39059977200,390599772004,390599772004002,1,2,1,1,2
39059,39059977200,390599772004,390599772004002,1,2,1,1,2
39059,39059977200,390599772004,390599772004002,1,2,1,1,2
39059,39059977200,390599772004,390599772004002,1,2,1,1,2
39059,39059977200,390599772004,390599772004003,1,1,1,1,1
39059,39059977200,390599772004,390599772004003,1,1,1,1,2
39059,39059977200,390599772004,390599772004003,1,1,1,1,2
39059,39059977200,390599772004,390599772004003,1,2,1,1,1
39059,39059977200,390599772004,390599772004003,1,2,1,1,1
39059,39059977200,390599772004,390599772004003,1,2,1,1,1
39059,39059977200,390599772004,390599772004003,1,2,1,1,2
39059,39059977200,390599772004,390599772004003,1,2,1,1,2
39059,39059977200,390599772004,390599772004003,1,2,1,1,2
39059,39059977200,390599772004,390599772004003,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,1
39059,39059977200,390599772004,390599772004004,1,1,1,1,2
39059,39059977200,390599772004,390599772004004,1,1,1,1,2
39059,39059977200,390599772004,390599772004004,1,1,1,1,2
39059,39059977200,390599772004,390599772004004,1,1,1,1,2
39059,39059977200,390599772004,390599772004004,1,1,1,1,2
39059,39059977200,390599772004,390599772004004,1,1,1,1,2
39059,39059977200,390599772004,390599772004004,1,1,1,1,2
39059,39059977200,390599772004,390599772004004,1,1,1,1,2
39059,39059977200,390599772004,390599772004004,1,1,1,1,2
39059,39059977200,390599772004,390599772004004,1,1,1,1,2
39059,39059977200,390599772004,390599772004004,1,1,1,1,2
39059,39059977200,390599772004,390599772004004,1,1,2,1,1
39059,39059977200,390599772004,390599772004004,1,1,2,1,1
39059,39059977200,390599772004,390599772004004,1,1,2,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,1
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004004,1,2,1,1,2
39059,39059977200,390599772004,390599772004006,1,2,1,1,1
39059,39059977200,390599772004,390599772004006,1,2,1,1,1
39059,39059977200,390599772004,390599772004006,1,2,1,1,1
39059,39059977200,390599772004,390599772004006,1,2,1,1,1
39059,39059977200,390599772004,390599772004006,1,2,1,1,1
39059,39059977200,390599772004,390599772004006,1,2,1,1,1
39059,39059977200,390599772004,390599772004006,1,2,1,1,1
39059,39059977200,390599772004,390599772004006,1,2,1,1,2
39059,39059977200,390599772004,390599772004006,1,2,1,1,2
39059,39059977200,390599772004,390599772004006,1,2,1,1,2
39059,39059977200,390599772004,390599772004006,1,2,1,1,2
39059,39059977200,390599772004,390599772004006,1,2,1,1,2
39059,39059977200,390599772004,390599772004007,1,1,1,1,2
39059,39059977200,390599772004,390599772004007,1,2,1,1,1
39059,39059977200,390599772004,390599772004007,1,2,1,1,2
39059,39059977200,390599772004,390599772004007,1,2,1,8,1
39059,39059977200,390599772004,390599772004008,1,1,1,1,1
39059,39059977200,390599772004,390599772004008,1,1,1,1,1
39059,39059977200,390599772004,390599772004008,1,1,1,1,1
39059,39059977200,390599772004,390599772004008,1,1,1,1,2
39059,39059977200,390599772004,390599772004008,1,1,1,1,2
39059,39059977200,390599772004,390599772004008,1,1,1,1,2
39059,39059977200,390599772004,390599772004008,1,1,1,1,2
39059,39059977200,390599772004,390599772004008,1,1,1,1,2
39059,39059977200,390599772004,390599772004008,1,1,1,1,2
39059,39059977200,390599772004,390599772004008,1,1,1,1,2
39059,39059977200,390599772004,390599772004008,1,1,1,1,2
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,1
39059,39059977200,390599772004,390599772004008,1,2,1,1,2
39059,39059977200,390599772004,390599772004008,1,2,1,1,2
